,name,age,sex,handedness,experiment,list,sentence,taskQuestion,trigger,expectedAnswer,participantAnswer,answer,word1,word2,word3,word4,word5,word6,word7,word8,word9,word10,word11,word12,word13,12,13,14,15,16,17,18,19,20,21,22,23,24
0,jamaican_sub002,21,Female,100,Jamaican Creole,2,Dis a yuh first practice question.,A did one practice sentence?,0,9.0,red,1,,,,,,,,,,,,,,0.3493521999916993,0.34930500003974885,0.34905419999267906,0.3491089000017382,0.34778809995623305,1.1018240000121295,,,,,,,
1,jamaican_sub002,21,Female,100,Jamaican Creole,2,See one next practice question yah,A did one next practice sentence?,0,9.0,red,1,,,,,,,,,,,,,,0.3481261000270024,0.3489545000484213,0.3474659000057727,0.3491541999974288,0.34700960002373904,1.10090969997691,,,,,,,
2,jamaican_sub002,21,Female,100,Jamaican Creole,2,Di trick a fi keep yuh head still di entire time.,,0,,,,,,,,,,,,,,,,,0.349804800003767,0.34925520000979304,0.3498088999767788,0.3498096000403166,0.3491943000117317,0.3502174000022933,0.3489600000320934,0.3489849000470713,0.34886619995813817,0.34851789998356253,1.1004306999966502,,
3,jamaican_sub002,21,Female,100,Jamaican Creole,2,Please nuh try blink during di sentence.,,0,,,,,,,,,,,,,,,,,0.35010360000887886,0.3503070999868214,0.34929990000091493,0.3494626000174321,0.34929270000429824,0.3488280000165105,1.1011323999846354,,,,,,
4,jamaican_sub002,21,Female,100,Jamaican Creole,2,Yuh can blink after di sentence and during di question dem!,Yuh can blink during di sentence?,0,7.0,red,0,,,,,,,,,,,,,,0.34900699998252094,0.34961169998859987,0.3495176999713294,0.34990340005606413,0.34908070001984015,0.3495402000262402,0.3491990999900736,0.34890729998005554,0.3488597000250593,0.35006890003569424,1.1006240000133403,,
5,jamaican_sub002,21,Female,100,Jamaican Creole,2,Yuh fi try relax as much as possible.,,0,,,,,,,,,,,,,,,,,0.3494568999740295,0.3494638999691233,0.34840100002475083,0.34942629997385666,0.349328099982813,0.34959820000221953,0.3496178000350483,1.100371600012295,,,,,
6,jamaican_sub002,21,Female,100,Jamaican Creole,2,Keep yuh eye dem focus pon di box inna di center.,Yuh can look to di side?,0,7.0,yellow,1,,,,,,,,,,,,,,0.34962440002709627,0.3499131999560632,0.348885599989444,0.34931809996487573,0.34973319998243824,0.34970680001424626,0.34927990002324805,0.34965019999071956,0.3494001000071876,0.3497940000379458,1.1009337000432424,,
7,jamaican_sub002,21,Female,100,Jamaican Creole,2,Try fi keep yuh face relaxed.,,0,,,,,,,,,,,,,,,,,0.3487053000135347,0.34850840002764016,0.3492120000300929,0.3491974000353366,0.34892419999232516,1.1003921999945305,,,,,,,
8,jamaican_sub002,21,Female,100,Jamaican Creole,2,Tek a moment fi ask any question.,,0,,,,,,,,,,,,,,,,,0.3487724000005983,0.3488373000291176,0.34769110003253445,0.34930289996555075,0.3492893999791704,0.3483508999925107,1.1009687999612652,,,,,,
9,jamaican_sub002,21,Female,100,Jamaican Creole,2,Dis a di last example sentence.,Nuh more practice questions ago deh deh?,0,7.0,yellow,1,,,,,,,,,,,,,,0.34961559996008873,0.3484947999822907,0.34933990001445636,0.3492211999837309,0.349133100011386,1.100653900008183,,,,,,,
